,prediction,mean,sigma,count
0,6,3435.5,232.63813101037414,2
1,1,1879.6666666666667,351.7475420430587,3
2,2,1005.7222222222222,189.31853194008164,18
3,3,520.3026315789474,103.90868038642932,76
4,5,218.44688644688645,56.827379218762914,273
5,7,75.96966911764706,30.889809192384693,1088
6,4,38.57142857142857,85.70269762937676,7
7,0,11.99400417101147,12.37898777064577,3836
