,prediction,mean,sigma,count
0,7,3041.6666666666665,701.6939028759857,3
1,6,1363.25,220.36641564189662,8
2,5,766.6071428571429,114.48607849565015,28
3,4,469.16923076923075,70.28414855756267,65
4,3,240.98863636363637,50.7809850392688,176
5,2,120.61122661122661,28.753271530394997,481
6,1,41.90981240981241,22.50586328018646,1386
7,0,8.941381495564006,9.539809916419708,3156
