,prediction,mean,sigma,count
0,7,4077.0,,1
1,6,2561.0,924.5523241006969,3
2,5,1043.8095238095239,214.31533287369317,21
3,4,521.7792207792207,101.92600817009408,77
4,2,154.71044776119402,69.06343163163791,670
5,1,40.01243339253996,23.779680118777797,1689
6,3,13.046511627906977,41.3987309952578,43
7,0,7.6260092272203,8.849606066719197,3468
