,prediction,mean,sigma,count
0,1,3838.5,337.28993462598316,2
1,2,1436.6,350.28407519231206,10
2,3,681.6274509803922,143.65123887865553,51
3,6,308.5952380952381,82.73427908232665,168
4,7,104.8203125,38.64492523164223,896
5,4,48.61904761904762,59.14427941522145,105
6,0,13.599829714772243,15.051297424292642,4698
7,5,12.761904761904763,41.857953479047715,42
